Hero Name,Role,Win Rate (%),Popularity (%),Ban Rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Franco,Tank,45.74,1.72,3.51,1,4,4,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,44.27
Khaleed,Fighter,51.29,0.57,0.06,1,0,4,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,44.09
Karrie,Marksman,47.43,0.68,0.22,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,44.05
Miya,Marksman,49.61,0.56,0.37,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,43.52
Popol and Kupa,Marksman,55.45,0.37,0.28,0,1,1,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,43.36
Estes,Support,47.87,0.51,1.55,1,4,4,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,42.62
Arlott,Fighter/Assassin,48.69,0.28,0.07,1,0,4,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,42.41
Bruno,Marksman,50.86,0.36,0.04,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,41.86
Diggie,Support,55.58,0.2,1.21,1,4,4,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,41.79
Karina,Assassin,46.94,0.45,0.87,0,2,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,41.67
Ixia,Marksman,50.93,0.33,0.11,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,41.59
Helcurt,Assassin,50.86,0.3,0.26,0,2,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,41.28
Saber,Assassin,49.16,0.31,2.75,0,2,3,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,41.12
Hanabi,Marksman,46.9,0.4,0.12,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,41.08
Akai,Tank,48.99,0.32,0.08,1,4,1,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,40.9
Aamon,Assassin,50.65,0.2,0.09,0,2,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,40.2
Atlas,Tank,46.12,0.28,0.06,1,4,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,39.64
Rafaela,Support,48.91,0.18,0.09,1,4,4,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,39.48
Dyrroth,Fighter,45.06,0.28,0.04,1,0,1,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,39.32
Natalia,Assassin,49.34,0.12,0.13,0,4,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,39.02
Baxia,Tank,50.8,0.05,0.02,1,2,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,38.74
Uranus,Tank,47.33,0.14,0.02,1,0,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,38.6
Paquito,Fighter/Assassin,42.92,0.17,0.02,1,0,4,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,37.58
Wanwan,Marksman,56.31,0.73,2.19,0,1,4,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,37.41
Beatrix,Marksman,48.35,0.63,0.06,0,1,4,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,33.81
Claude,Marksman,46.44,0.62,0.04,0,1,4,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,33.14
Nolan,Assassin,48.27,0.34,0.17,0,2,4,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,32.9
Lancelot,Assassin,42.57,0.45,0.08,0,2,4,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,30.28
Gusion,Assassin,45.71,0.31,0.07,0,2,4,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,29.82
